source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,Gmag,BPmag,RPmag,e_G,e_BP,e_RP,TWOMASS,Jmag,Hmag,Kmag,e_J,e_H,e_K,Qfl,Rfl,X,BPRP_excess
1975542367550534528,333.39001460007,0.0526,47.65071595111,0.0581,8.8373,0.0708,66.32,0.068,39.341,0.072,17.330076,19.468325,15.964643,0.002962,0.026754,0.00475,22133349+4739018,13.931,13.251,12.954,0.027,0.021,0.026,AAA,222,0,1.582
2001126319512092544,333.46359442836,0.0226,51.68493781781,0.0237,8.4537,0.0302,63.769,0.031,39.842,0.03,15.591597,17.146887,14.372848,0.002834,0.006554,0.004232,22135114+5141052,12.653,12.062,11.805,0.048,0.053,0.041,AAA,222,0,1.466
2004586654403158912,333.93118196808,0.0566,53.68919704771,0.057,9.6399,0.073,74.029,0.078,45.585,0.072,17.349337,19.351816,16.021463,0.002953,0.020685,0.004816,22154334+5341204,14.058,13.44,13.065,0.026,0.037,0.025,AAA,222,0,1.545
2001256027524161408,334.61926007595,0.0352,52.2620443241,0.0306,7.3244,0.0387,56.028,0.044,33.297,0.038,16.025656,17.615753,14.804586,0.00287,0.009234,0.004235,22182852+5215427,13.066,12.426,12.239,0.023,0.031,0.023,AAA,222,0,1.464
1905961938843819520,334.84915682209,0.0927,35.73593449801,0.1071,17.4815,0.1477,140.268,0.127,69.349,0.143,10.722258,11.424912,9.915231,0.002776,0.00298,0.003875,22192359+3544081,8.915,8.366,8.181,0.019,0.026,0.012,AAA,112,0,1.265
1999665618306226944,334.96826977681,0.0287,49.11481388849,0.0272,10.6541,0.0365,83.009,0.04,46.953,0.036,15.995531,17.739191,14.71662,0.002852,0.011641,0.004286,22195224+4906525,12.896,12.288,11.996,0.025,0.029,0.023,AAA,222,0,1.513
1987529380754898048,334.99217239519,0.0286,48.06686031039,0.0298,8.9563,0.038,69.778,0.04,38.926,0.039,16.087616,17.839212,14.812219,0.002876,0.010976,0.00423,22195800+4804000,13.023,12.361,12.103,0.026,0.031,0.025,AAA,222,0,1.507
2000977988519741184,335.10608872882,0.012,51.5497313494,0.0136,7.3776,0.0161,56.984,0.018,33.309,0.018,14.268978,15.487485,13.144252,0.002787,0.005096,0.004642,22202533+5132586,11.54,10.962,10.71,0.041,0.055,0.042,EEE,222,0,1.422
1962443060894128896,335.13358364693,0.0277,46.50134571831,0.0308,9.8581,0.0375,77.278,0.037,41.936,0.04,16.227402,17.966988,14.96874,0.002831,0.008974,0.004066,22203193+4630041,13.196,12.55,12.299,0.025,0.024,0.021,AAA,222,0,1.488
2733735658723810560,335.21228127434,0.0353,12.65765719088,0.0367,15.7266,0.0413,131.973,0.044,35.044,0.048,15.552671,17.315779,14.294254,0.003025,0.012849,0.004459,22205079+1239269,12.55,11.917,11.673,0.021,0.022,0.02,AAA,222,0,1.484
1958732071707569792,335.44111203657,0.0302,43.28515109846,0.037,15.2129,0.0431,120.044,0.039,62.748,0.046,16.382654,18.365454,15.064585,0.002868,0.012442,0.004111,22214567+4317053,13.083,12.504,12.181,0.025,0.024,0.023,AAA,222,0,1.534
2006058007121738752,335.6142345426,0.0404,56.24373880973,0.0404,10.3183,0.0489,79.498,0.054,46.117,0.049,16.646847,18.475292,15.360546,0.002953,0.015972,0.004753,22222726+5614368,13.473,12.894,12.596,0.031,0.03,0.031,AAA,222,0,1.511
2000062228460812928,335.70335289172,0.0794,50.29295146273,0.0798,12.0063,0.0968,95.984,0.107,52.938,0.096,17.714775,20.039793,16.301653,0.003122,0.053757,0.005038,22224863+5017337,14.117,13.508,13.213,0.028,0.027,0.029,AAA,222,0,1.632
1879073038387395200,335.96621926578,0.0208,25.40146372777,0.0233,20.1951,0.0288,158.528,0.03,62.468,0.03,14.688843,16.502764,13.414183,0.002878,0.006862,0.004249,22235168+2524041,11.559,10.933,10.664,0.024,0.02,0.019,AAA,222,0,1.498
1987643798683940736,336.04500440423,0.0149,48.45479004717,0.0165,10.6338,0.0202,83.963,0.019,46.589,0.019,14.589684,16.09172,13.392061,0.002843,0.004781,0.004067,22241065+4827164,11.71,11.074,10.854,0.021,0.019,0.016,AAA,222,0,1.45
2737202212727684352,336.15642458523,0.0235,16.89715038097,0.0259,15.9053,0.028,124.848,0.03,39.635,0.033,8.112462,8.452691,7.60279,0.002783,0.003152,0.003983,22243738+1653488,7.018,6.726,6.665,0.02,0.021,0.02,AAA,111,0,1.203
1987450834393328256,336.29578067301,0.0096,48.14316720351,0.0098,13.0775,0.0124,104.405,0.012,55.074,0.012,13.528152,14.761097,12.427173,0.002782,0.003222,0.003822,22251082+4808345,10.932,10.343,10.087,0.022,0.031,0.021,AAA,222,0,1.393
2001782384353668608,336.58346905442,0.015,53.36948149602,0.0147,8.4088,0.0186,65.826,0.021,36.65,0.019,14.566019,15.810249,13.460596,0.00282,0.004057,0.004085,22261991+5322095,11.959,11.303,11.083,0.022,0.03,0.02,AAA,222,0,1.396
2007796919114392064,336.91342502332,0.0271,57.11235745495,0.0259,10.5035,0.035,83.763,0.038,47.354,0.032,15.761217,17.445662,14.490451,0.003373,0.022207,0.007866,22273908+5706435,12.619,12.038,11.788,0.04,0.059,0.044,AAA,222,0,1.511
1957864969350573696,336.95926725252,0.0125,42.86202254855,0.0132,12.4121,0.0186,98.346,0.016,49.583,0.019,14.447292,15.969584,13.247477,0.002802,0.003948,0.003928,22275006+4251424,11.588,10.958,10.69,0.022,0.024,0.016,AAA,222,0,1.449
1986234052975086720,337.06162461232,0.019,45.99253568784,0.0205,10.2256,0.0266,81.326,0.025,41.359,0.026,15.491052,17.145016,14.24744,0.002851,0.006632,0.004242,22281465+4559323,12.503,11.853,11.585,0.026,0.023,0.022,AAA,222,0,1.481
2001767437866283264,337.22250922289,0.0545,53.59312523074,0.0572,8.9975,0.0673,71.755,0.066,38.282,0.07,17.218119,19.126057,15.902421,0.002899,0.0275,0.005045,22285326+5335344,13.982,13.337,13.037,0.029,0.027,0.029,AAA,222,0,1.539
2006669503070244224,337.36818556333,0.0586,55.77280356031,0.0578,8.4191,0.0711,67.513,0.078,36.011,0.073,17.229572,19.119122,15.927152,0.002948,0.02139,0.004425,22292824+5546217,13.944,13.38,13.096,0.035,0.037,0.033,AAA,222,0,1.524
2001441879344015872,337.43183182087,0.0334,52.40965575696,0.0332,8.4687,0.043,64.348,0.049,36.004,0.044,16.216022,17.929155,14.955348,0.00288,0.007763,0.004345,22294352+5224342,13.134,12.594,12.264,0.03,0.045,0.031,AAA,222,0,1.494
1873525349389584768,337.45326685475,0.0446,19.88401298481,0.0588,16.9349,0.0411,125.819,0.055,42.812,0.061,15.571274,17.370993,14.301338,0.002973,0.009391,0.003935,22294862+1953016,12.433,11.863,11.576,0.021,0.024,0.02,AAA,222,0,1.494
2000203794879814144,337.47608917264,0.0258,50.37062101349,0.027,11.0558,0.0346,88.157,0.039,46.844,0.035,15.833382,17.561214,14.576907,0.002876,0.007989,0.00414,22295410+5022135,12.779,12.153,11.924,0.021,0.029,0.023,AAA,222,0,1.487
2003051255128947072,338.21037947265,0.0289,53.34292401826,0.0281,11.3107,0.0351,91.702,0.04,48.005,0.034,15.981462,17.715513,14.716719,0.002859,0.008849,0.004466,22325034+5320338,12.865,12.255,12.04,0.024,0.028,0.026,AAA,222,0,1.496
2002162609213275904,339.02562337593,0.0293,52.56534460459,0.0288,7.3333,0.0373,57.878,0.04,29.147,0.036,16.078632,17.677069,14.850219,0.002854,0.010672,0.004188,22360604+5233548,13.155,12.504,12.247,0.027,0.033,0.024,AAA,222,0,1.471
